COUNTY,VIOLENT,PROPERTY,F_DRUGOFF,F_SEXOFF,F_ALLOTHER,F_TOTAL,M_TOTAL,A_TOTAL
Alameda County,3853,3072,840,160,2655,10580,26790,37370
Alpine County,11,5,3,1,3,23,51,74
Amador County,93,44,33,0,133,303,764,1067
Butte County,695,445,268,53,680,2141,7914,10055
Calaveras County,134,32,64,10,109,349,749,1098
Colusa County,59,30,11,2,134,236,713,949
Contra Costa County,2722,2816,803,174,2689,9204,15361,24565
Del Norte County,128,52,20,6,116,322,1330,1652
El Dorado County,524,246,95,27,458,1350,3083,4433
Fresno County,3471,1419,403,194,2327,7814,23679,31493
Glenn County,98,45,21,12,112,288,1038,1326
Humboldt County,496,242,222,38,637,1635,5469,7104
Imperial County,368,249,203,27,396,1243,4060,5303
Inyo County,89,30,7,3,104,233,542,775
Kern County,3159,2477,840,143,2858,9477,25465,34942
Kings County,591,253,103,63,654,1664,5737,7401
Lake County,331,143,138,20,337,969,2630,3599
Lassen County,105,46,14,9,68,242,569,811
Los Angeles County,28432,17620,6945,988,19128,73113,174093,247206
Madera County,500,252,130,29,448,1359,4233,5592
Marin County,445,311,74,34,269,1133,4748,5881
Mariposa County,67,33,34,7,54,195,503,698
Mendocino County,423,186,94,6,366,1075,3289,4364
Merced County,976,486,167,57,918,2604,7534,10138
Modoc County,53,19,7,4,85,168,266,434
Mono County,61,13,2,4,16,96,232,328
Monterey County,1134,615,244,63,849,2905,9176,12081
Napa County,377,195,83,23,517,1195,2914,4109
Nevada County,236,120,34,18,210,618,2166,2784
Orange County,5732,4574,1767,416,4113,16602,65898,82500
Placer County,784,630,225,54,944,2637,6341,8978
Plumas County,65,30,18,6,49,168,598,766
Riverside County,5224,3517,1530,211,3733,14215,29541,43756
Sacramento County,5025,2898,1226,237,3731,13117,22781,35898
San Benito County,178,70,35,13,125,421,1211,1632
San Bernardino County,8325,6850,2359,529,4537,22600,43059,65659
San Diego County,8578,4099,2038,318,6716,21749,63041,84790
San Francisco County,1994,994,573,74,3373,7008,8609,15617
San Joaquin County,2904,1250,538,180,2231,7103,13097,20200
San Luis Obispo County,583,312,108,38,422,1463,8428,9891
San Mateo County,1491,902,241,92,981,3707,13422,17129
Santa Barbara County,1208,669,466,53,956,3352,12748,16100
Santa Clara County,4288,2687,919,346,2582,10822,25412,36234
Santa Cruz County,756,453,180,40,730,2159,8268,10427
Shasta County,579,449,223,23,677,1951,6409,8360
Sierra County,12,6,1,2,10,31,59,90
Siskiyou County,166,69,44,5,240,524,1615,2139
Solano County,1279,805,304,66,1333,3787,8549,12336
Sonoma County,1545,670,220,87,1050,3572,12586,16158
Stanislaus County,2380,1086,314,125,1813,5718,14008,19726
Sutter County,409,252,53,19,381,1114,3322,4436
Tehama County,184,119,58,20,177,558,1968,2526
Trinity County,28,12,47,3,49,139,334,473
Tulare County,2235,1382,768,123,1952,6460,15955,22415
Tuolumne County,193,125,108,17,370,813,2122,2935
Ventura County,2090,1387,721,83,2338,6619,26796,33415
Yolo County,553,379,137,29,521,1619,4555,6174
Yuba County,366,185,157,19,220,947,2226,3173
